Attribute;Sentiment
times;-6.817568998961303
produce;-5.499639768777138
quantities;-5.148286592604192
day;-4.411553763427589
bits;-4.408014993726673
stuff;-4.272647031772685
opinion;-4.042231179153683
conditions;-3.9963720641392246
egg;-3.4158299487353574
locations;-3.38251667527288
steam not steam table;-3.2718018542523994
floor;-3.220499745561337
attitude;-2.781289600096537
cleaning;-2.6927754684624605
fruit;-2.422222904283487
Fish;-2.211193778159028
night;-2.0949941358249515
step;-1.7319495980210267
not bones;-1.7125202671461575
rating;-1.6818525221087421
jurors;-1.6276159554730985
gamble;-1.5350000000000001
chemicals;-1.4714652310760665
entryway;-1.0962508097916894
children;-1.0333243970828498
meeting;-1.0186445036704541
customers;-0.9068639765428441
appearance;-0.881606369010846
months;-0.8806842091839989
food reports;-0.8153853224750964
b;-0.8137866841874726
drinking tapwater;-0.805
kinda;-0.7503417188825985
type;-0.7503120218677346
chair;-0.6741494919509683
example;-0.663567058780165
plants;-0.6590909090909091
result;-0.6356394798202262
packets;-0.6321200175208059
turn;-0.6291555617898724
CA;-0.6223528407014369
attempt;-0.5912727272727273
mistake;-0.577901399904464
trips;-0.5712497925629261
shot;-0.570033337694848
half;-0.5227272727272728
globs;-0.5163399873928013
cloth;-0.5053417188825985
food.npanda;-0.5
boy;-0.48225775157089434
coulda;-0.4626666666666666
average;-0.45454545454545453
pita;-0.4518022797695972
pain;-0.4081632653061225
class;-0.38177641386945355
shell;-0.37506200036425213
brother;-0.375
market;-0.3605163249648171
food fix;-0.36000000000000004
alright;-0.3503401360544218
apple;-0.3503401360544218
standards;-0.34561197729424314
goo;-0.34353741496598644
lunch specials;-0.3398930382186665
clams;-0.3387349552635588
gathering;-0.3384338760051644
weeks;-0.3087129182128481
beverages;-0.30477445733049907
end of!I;-0.2539290069096329
matter;-0.25
requests;-0.23898071625344353
stop;-0.2386379576378174
cities;-0.22945092563134756
chow chow chow chow chow chow chow mien;-0.20537669732807728
tubes;-0.19182804671788622
layover;-0.1903737262725329
substitute names;-0.1758138121288634
hassle;-0.125
exchange;-0.11949035812672176
bbq sushi bbq menu;-0.11487620226695114
jazz;-0.08394258527473328
George moments;-0.06663574520717379
phone;-0.057690119089023564
king pao;-0.02737226277372263
impression;-0.005000000000000003
spareribs;0.0
attendant;0.0
set;0.0
hair shrimp hair pasta;0.0
loaves;0.0
form;0.0
not associate;0.0
countryside;0.0
GROSS;0.0
kick;0.0
Jew;0.0
life;0.0
weirdos;0.027507817858429914
eater card;0.041666666666666664
try;0.051020408163265314
House CK;0.05222681359044996
approach;0.05474452554744526
american;0.06000000000000001
poop;0.06554178145087236
pans;0.08061573659596558
world class world courts;0.08333333333333333
clue;0.10204081632653063
Brother;0.10329447911112895
refrigerator;0.10910099056600475
styrofoam;0.125
chop houses;0.1284013605442177
annoying.Food;0.1430192385855575
NOT lunch NOT time!A NOT lunch NOT trick;0.16666666666666666
killer;0.20454545454545456
run;0.2297727971137571
crowd;0.233843537414966
direction;0.23722627737226276
state;0.25
mind;0.2718860653408242
letters;0.2807932052770224
feeling;0.2903741496598638
guests;0.2916666666666667
family;0.3041735537190084
improvement;0.3181818181818182
accident;0.3476277372262774
reason;0.36909019733018483
word;0.38999999999999996
dissatisfaction;0.4107199161357777
odor;0.41907823742797645
coat;0.4473107852530918
kind;0.4694525547445255
puddle;0.4723435656241193
pepper batter;0.47321752935179606
consumption;0.4956287361432111
life lesson;0.49908759124087587
NY style NY Chinese;0.5803125510958271
frenzy;0.5955117243792055
BS;0.5994897959183674
face;0.6337632198238539
snack;0.6337632198238539
partner;0.6468978102189782
weekday;0.6745256253527375
cause;0.6847836279871192
opportunity;0.7450000000000001
details;0.75
Ms. M;0.75
friends;0.760241537826482
minutes;0.8065941237883845
dinner;0.8195167364792442
entr e entr entr entr e entr e entr e entr entr entr e entr plate;0.8258625975178074
version;0.875
no comment;0.8761034259499257
shops;0.8770408393758105
interest;0.8822167171730716
chocolate syrup;0.899716219572777
stories;0.9461678832116788
art;0.9794225641011646
forte;0.9813909570501312
potatoes;0.9998131213725603
king;1.0
system;1.0518012464435715
man;1.0938222912279696
field;1.1101163964245795
history;1.1538686131386862
cost;1.2198246266666026
oil;1.2529566360052562
not luck;1.2587632198238539
luncheon;1.2740729811293137
measure;1.2766505272389486
mama;1.2909274563820023
not guy;1.3145333561488486
facade;1.43682158831861
pieces;1.444274484425439
amount;1.4523354775692803
note;1.4557708656639836
temperature;1.4692104570356617
wood;1.5403867855186861
fare;1.5867423722540925
Lo;1.6337632198238539
way;1.6403272891631946
1s;1.7080227365147151
buffets list;1.8222904555356567
rice concoction;1.8887656246334406
assortment;2.129119259135098
battle;2.1622797543997465
bread;2.2549753410359745
someone;2.2911806465472675
rate;2.3811628032840715
music;2.907263641030792
daughters;3.178621175145486
work;3.281291220382414
opening;3.391379469193703
owner;3.394905153566066
sustenance;3.474583206003757
areas;3.517381716888764
parking lot;3.569006756135742
occurrence;3.723571178857872
container;3.89669580075157
idea;4.354297010374294
ice cream ice machine;4.7671370112199165
health board;5.267526439647708
Nothing;5.508908116139851
workers;5.679087193108703
spring rolls;6.5508957221607265
item;7.339891660794295
flavor;7.3747703871517665
service;7.723228785472591
people;7.774760548857452
dum sum dum situation;7.895515794866619
spots;8.804395343166622
part;8.897673937461605
hand;9.741683954912151
institution;10.369072845611722
woman;11.166545986490528
buffets;11.228232644295117
waiter;11.816217485245275
quality;13.479873130486505
restaurant building;18.037805469053282
selection;18.20468951819208
Soup;19.995366267240076
diet needs;58.01767489622983
Food;89.26354892725033
