Attribute;Sentiment
person;-11,12596970045965
Food;-9,331875210646007
people;-4,600372280392171
attitude;-2,7768300453584
buffet stuff;-2,551104401337449
Buffet;-2,514360313481039
style;-1,6308924462183152
way;-1,4836727918829196
hand;-1,3905068719121674
workers;-1,1860008379978144
rag;-1,1347311121672703
store;-1,0075850340136057
environment;-0,9599097500750327
vegetables;-0,8269464720194648
digits;-0,7348214222554984
accounts;-0,7205163249648172
feeling;-0,6704545454545454
service;-0,6221424400495666
consumption;-0,6136575403508576
meat;-0,5579575879423477
UYE Rand UYE H, UYE Rand UYE Mike UYE Rand UYE H, UYE Rand UYE C, UYE Rand UYE H, UYE Rand UYE Mike UYE Rand UYE H, UYE Rand UYE Robyn UYE Rand UYE H, UYE Rand UYE Mike UYE Rand UYE H, UYE Rand UYE C, UYE Rand UYE H, UYE Rand UYE Mike UYE Rand UYE H, UYE Rand UYE N;-0,3486151461236629
day;-0,11196186085608377
credit card credit machine;-0,08758503401360546
music;-0,08420386499724565
family dinner;0,05222681359044996
condition;0,1528631762476954
fast-food joint;0,1590909090909091
ratings;0,16774661532566965
not rib;0,17085629872386912
colors;0,23722627737226276
facility;0,26324888936211804
word;0,38999999999999996
house;0,5363092132068933
woman;0,592392886240884
rate;0,6337632198238539
food copy;0,6979491261346702
opportunity;0,7500000000000001
decision;0,865699420107098
restaurant;1,650732812508231
mama;1,8382506887052346
ambiance;2,1437153466043175
plus;2,2027244274226887
sustenance;2,40460042940356
not thing;2,435743441593019
container;2,534070630439386
part;4,020840797444553
idea;5,718142496416276
